block_id,block_type,grid_width,grid_height,area_cells,area_m2,original_x,original_y,original_z,vertices,faces,file_size_mb,processing_time
4386_292_000,trestle,21,13,273,273.0,20.676787999999988,13.055691999999999,6.807106,13088,7935,0.2438812255859375,0.03647613525390625
4386_628_000,trestle,21,6,126,126.0,21.063782000000003,5.7735009999999996,23.795231,15841,10209,0.28314208984375,0.03953218460083008
4386_629_000,trestle,17,6,102,102.0,16.708054000000004,5.7735009999999996,20.910862,13038,8285,0.2407989501953125,0.03556108474731445
4386_638_000,trestle,21,6,126,126.0,21.063782000000003,5.7735009999999996,23.795307,16060,10216,0.2886962890625,0.03872513771057129
4386_639_000,trestle,17,6,102,102.0,16.708054000000004,5.7735009999999996,20.900351,13006,8332,0.2443084716796875,0.033926963806152344
4386_662_000,trestle,21,6,126,126.0,20.87378000000001,5.942473999999997,5.879999999999999,7954,4840,0.1587066650390625,0.025908470153808594
4386_663_000,trestle,22,16,352,352.0,21.92535399999997,15.758301000000001,6.798166999999999,15655,9046,0.311492919921875,0.03904271125793457
4386_672_000,trestle,21,6,126,126.0,20.87378000000001,5.942474999999998,5.8799990000000015,7977,4823,0.15936279296875,0.0289309024810791
4386_673_000,trestle,22,16,352,352.0,21.924284999999998,15.758299,6.7984100000000005,15663,9039,0.3122406005859375,0.04008293151855469
4386_682_000,trestle,21,10,210,210.0,20.666472999999996,10.093464999999998,5.880232999999999,10609,6384,0.22174072265625,0.03164076805114746
4386_692_000,trestle,21,10,210,210.0,20.666472999999996,10.093497,5.880005000000002,10556,6361,0.219573974609375,0.031183242797851562
4387_20A,crane,21,51,1071,1071.0,20.789246000000006,51.070004,31.811038,129495,78854,2.28350830078125,0.31034040451049805
4387_20B,crane,19,51,969,969.0,19.207107000000008,51.070004,31.815997,129216,78714,2.160614013671875,0.3125019073486328
4387_20C,crane,19,51,969,969.0,18.651474000000007,51.070004,31.815995,138355,85028,2.176300048828125,0.3195321559906006
4387_20D,crane,23,51,1173,1173.0,23.264466,51.070004,31.815997,122244,77121,2.0645599365234375,0.3058607578277588
4387_20E,crane,19,51,969,969.0,19.201767000000018,51.070004,31.815997,129224,82316,2.177703857421875,0.306063175201416
4387_20F,crane,19,51,969,969.0,18.662598000000003,51.070004,31.815997,186146,113526,2.983978271484375,0.46018266677856445
4387_20G,crane,19,51,969,969.0,18.651718000000017,51.070004,31.815997,111910,69894,1.888946533203125,0.26966047286987305
4387_20H,crane,37,51,1887,1887.0,37.367355,51.035882,22.9905,229329,141998,4.08709716796875,0.6046957969665527
4387_20K,crane,19,51,969,969.0,19.46968100000001,51.060002,31.813018,113417,68931,1.9549407958984375,0.25847625732421875
4387_242_000,trestle,21,20,420,420.0,20.654968000000054,20.15191,6.130477,24146,15348,0.4660186767578125,0.06321072578430176
4387_252_000,trestle,21,15,315,315.0,20.655029000000013,14.599350999999999,6.128269,15657,9909,0.311187744140625,0.03812551498413086
4387_283_000,trestle,22,13,286,286.0,21.879181000000017,13.187178000000001,6.78603,13368,7866,0.2506256103515625,0.03363323211669922
4387_293_000,trestle,22,13,286,286.0,21.878997999999967,13.187179,6.786029999999999,13374,7845,0.250152587890625,0.03305220603942871
4387_628_000,trestle,21,6,126,126.0,21.063782000000003,5.7735009999999996,23.795231,15899,10248,0.2894439697265625,0.03729081153869629
4387_629_000,trestle,17,6,102,102.0,16.708054000000004,5.7735009999999996,20.910862,13073,8307,0.241851806640625,0.03511977195739746
4387_638_000,trestle,21,6,126,126.0,21.063782000000003,5.7735009999999996,23.795307,16137,10270,0.28802490234375,0.0390472412109375
